TestDate,Time,Point 1571,Point 1572,Point 1573,Point 1574,Point 1575,Point 1576,Temperature,Current,RCTA Occupied BW,BSD Occupied BW,Power,Point 1481,Point 1666,Point 1667,Point 1668,Point 1669,Antenna1 GetTxPower,Antenna2 GetTxPower,Antenna1 GetCenterFrequency,Antenna2 GetCenterFrequency,Antenna1 GetCwLeakage,Antenna2 GetCwLeakage,Temperature,Delta,,
2014-10-23,09:44:21,62347,3418A,14W42,41151,68003,1861,21.9266,283.562,174.240,92.475,12.183202,2694,10,4,10,4,12.264576,8.336876,24.201641,24.201588,25.822602,24.412695,27.8658,5.939200,
2014-10-23,10:17:17,153280001696,62347,3433A,14W42,41153,28000,1696,23.99971,283.692,170.767,80.318,12.400938,2585,21,4,21,4,12.413268,9.549781,24.201564,24.201543,28.929269,27.650827,30.77937,6.779660,
2014-10-23,10:22:44,153280001691,62347,3434A,14W42,41153,28000,1691,23.60751,283.022,167.294,80.753,12.374211,2594,23,4,23,4,12.421058,9.747856,24.366890,24.201589,27.262675,26.490164,30.49922,6.891710,
2014-10-23,10:44:47,154080000045,62347,3436A,14W42,41154,08000,0045,22.93515,286.795,174.819,83.792,12.127787,2659,9,4,9,4,12.160278,9.223186,24.201552,24.201525,25.977296,25.257977,28.76228,5.827130,
2014-10-23,10:46:14,154080000123,62347,3436A,14W42,41154,08000,0123,23.32735,288.309,172.504,84.226,12.106291,2650,9,4,9,4,12.106041,8.692648,24.201551,24.201526,27.384036,26.112973,29.07045,5.743100,
2014-10-23,10:48:40,153280001583,62347,3434A,14W42,41153,28000,1583,27.13741,286.147,172.504,290.883,-1.933516,-5.891108,24.201568,24.383582,35.603105,33.293647,35.45788,8.320470,
2014-10-23,10:53:02,154080000125,62347,3436A,14W42,41154,08000,0125,23.13125,287.818,173.082,84.660,12.020611,2660,8,4,8,4,11.961309,7.753989,24.201568,24.201538,26.897670,25.541724,28.76228,5.631030,
2014-10-23,10:54:37,154080000126,62347,3436A,14W42,41154,08000,0126,25.51253,290.995,174.819,84.226,12.456363,2572,14,4,14,4,12.196621,8.174197,24.201509,24.201538,27.377529,26.095175,31.05952,5.546990,
2014-10-23,11:21:52,154080000124,
2014-10-23,11:24:27,154080000121,62347,3434A,14W42,41154,08000,0121,23.55147,287.134,174.240,82.489,12.419139,2615,18,4,18,4,12.434722,9.467031,24.201580,24.201551,29.509783,28.144104,29.93892,6.387450,
